name,description,rating,contactNo,unitNo,openingHours,hawkerCentreId
<<<<<<< HEAD
Selera Rasa Nasi Lemak,"Serving traditional Nasi Lemak since 1998, when The Undertaker threw Mankind off Hell In A Cell, and plummeted 16 ft through an announcer's table.",4,97654321,#01-02,null,1
Adam Fishball Noodles,"Serving traditional Fishball Noodle since 1998, when The Undertaker threw Mankind off Hell In A Cell, and plummeted 16 ft through an announcer's table.",4.6,98473647,#01-25,null,1
Stall 22 Hokkien Mee,"Serving traditional Hokkien Prawn Mee since 1998, when The Undertaker threw Mankind off Hell In A Cell, and plummeted 16 ft through an announcer's table.",4.8,92837253,#01-22,null,1
A Noodle Story,"Serving traditional Wanton Mee since 1998, when The Undertaker threw Mankind off Hell In A Cell, and plummeted 16 ft through an announcer's table.",4.7,92293836,#01-125,null,2
Ah Seng (Hai Nam) Coffee,"Serving traditional Coffee since 1998, when The Undertaker threw Mankind off Hell In A Cell, and plummeted 16 ft through an announcer's table.",4.2,98723122,#02-95,null,2
Gyu Nami,"Serving traditional Beef Donburi since 1998, when The Undertaker threw Mankind off Hell In A Cell, and plummeted 16 ft through an announcer's table.",5,92030023,#02-216,null,2
Bedok Corner Hokkien Prawn Mee,"Serving traditional Hokkien Prawn Mee since 1998, when The Undertaker threw Mankind off Hell In A Cell, and plummeted 16 ft through an announcer's table.",5,91234567,29,null,3
Gemelli Pizza & Pasta,"Serving traditional Pasta since 1998, when The Undertaker threw Mankind off Hell In A Cell, and plummeted 16 ft through an announcer's table.",5,90399948,17,null,3
Ye Lai Xiang Hot and Cold Cheng Tng,"Serving traditional Cheng Tng since 1998, when The Undertaker threw Mankind off Hell In A Cell, and plummeted 16 ft through an announcer's table.",4.7,82938263,31,null,3
=======
Selera Rasa Nasi Lemak,"Serving traditional Nasi Lemak since 1998, when The Undertaker threw Mankind off Hell In A Cell, and plummeted 16 ft through an announcer's table.",4,97654321,#01-02,"{""Monday"":{""start"":""09:00"",""end"":""20:00"",""allDay"":false,""closed"":false},""Tuesday"":{""start"":""09:00"",""end"":""20:00"",""allDay"":false,""closed"":false}, ""Wednesday"":{""start"":""09:00"",""end"":""20:00"",""allDay"":false,""closed"":false},""Thursday"":{""start"":""09:00"",""end"":""20:00"",""allDay"":false,""closed"":false},""Friday"":{""start"":""09:00"",""end"":""20:00"",""allDay"":false,""closed"":false},""Saturday"":{""start"":""09:00"",""end"":""20:00"",""allDay"":false,""closed"":false},""Sunday"":{""start"":""09:00"",""end"":""20:00"",""allDay"":false,""closed"":false}}",1
Adam Fishball Noodles,"Serving traditional Fishball Noodle since 1998, when The Undertaker threw Mankind off Hell In A Cell, and plummeted 16 ft through an announcer's table.",4.6,98473647,#01-25,"{""Monday"":{""start"":""09:00"",""end"":""20:00"",""allDay"":false,""closed"":false},""Tuesday"":{""start"":""09:00"",""end"":""20:00"",""allDay"":false,""closed"":false}, ""Wednesday"":{""start"":""09:00"",""end"":""20:00"",""allDay"":false,""closed"":false},""Thursday"":{""start"":""09:00"",""end"":""20:00"",""allDay"":false,""closed"":false},""Friday"":{""start"":""09:00"",""end"":""20:00"",""allDay"":false,""closed"":false},""Saturday"":{""start"":""09:00"",""end"":""20:00"",""allDay"":false,""closed"":false},""Sunday"":{""start"":""09:00"",""end"":""20:00"",""allDay"":false,""closed"":false}}",1
